Date,Open,High,Low,Close,Volume
13-Sep-10,3.97,4.10,3.92,4.08,530431
10-Sep-10,3.85,3.93,3.85,3.91,151987
9-Sep-10,3.81,3.90,3.79,3.86,107353
8-Sep-10,3.73,3.80,3.68,3.75,144398
7-Sep-10,3.85,3.86,3.68,3.71,172853
6-Sep-10,3.86,3.86,3.86,3.86,0
3-Sep-10,3.86,3.86,3.86,3.86,0
2-Sep-10,3.73,3.95,3.66,3.92,296497
1-Sep-10,3.67,3.73,3.63,3.71,497522
31-Aug-10,3.69,3.74,3.57,3.59,235551
30-Aug-10,3.77,3.78,3.65,3.68,171573
27-Aug-10,3.75,3.77,3.65,3.77,222659
26-Aug-10,3.72,3.78,3.63,3.68,211353
25-Aug-10,3.48,3.72,3.48,3.71,194390
24-Aug-10,3.48,3.57,3.42,3.52,322681
23-Aug-10,3.75,3.75,3.50,3.52,387735
20-Aug-10,3.63,3.77,3.60,3.73,217793
19-Aug-10,3.77,3.78,3.60,3.64,318806
18-Aug-10,3.76,3.82,3.76,3.78,146620
17-Aug-10,3.81,3.85,3.71,3.78,207388
16-Aug-10,3.66,3.82,3.65,3.75,195728
13-Aug-10,3.68,3.80,3.62,3.69,234761
12-Aug-10,3.63,3.79,3.63,3.68,293484
11-Aug-10,3.73,3.78,3.55,3.70,401225
10-Aug-10,3.85,3.92,3.76,3.81,384718
9-Aug-10,3.75,3.91,3.72,3.90,654661
6-Aug-10,3.41,3.77,3.28,3.75,1036081
5-Aug-10,3.26,3.34,3.24,3.31,570013
4-Aug-10,3.25,3.41,3.19,3.26,1369362
3-Aug-10,2.82,2.93,2.77,2.83,410219
2-Aug-10,2.93,2.94,2.82,2.84,155422
30-Jul-10,2.75,2.99,2.75,2.86,363123
29-Jul-10,2.81,2.85,2.72,2.81,109731
28-Jul-10,2.78,2.88,2.73,2.79,108822
27-Jul-10,2.92,2.93,2.77,2.77,166351
26-Jul-10,2.89,2.93,2.78,2.88,199158
23-Jul-10,2.73,2.91,2.61,2.91,267405
22-Jul-10,2.62,2.79,2.62,2.74,277327
21-Jul-10,2.62,2.67,2.55,2.57,126374
20-Jul-10,2.61,2.68,2.56,2.61,233249
19-Jul-10,2.62,2.77,2.60,2.65,132982
16-Jul-10,2.78,2.82,2.62,2.62,354211
15-Jul-10,2.89,3.00,2.79,2.81,105647
14-Jul-10,2.93,2.96,2.81,2.85,105130
13-Jul-10,2.87,2.99,2.84,2.95,313281
12-Jul-10,2.88,2.89,2.70,2.81,131915
9-Jul-10,2.79,2.92,2.69,2.90,156984
8-Jul-10,2.88,2.89,2.73,2.81,238498
7-Jul-10,2.70,3.05,2.68,2.85,254797
6-Jul-10,2.88,2.96,2.66,2.68,166776
5-Jul-10,2.84,2.84,2.84,2.84,0
2-Jul-10,2.84,2.84,2.84,2.84,0
1-Jul-10,2.79,2.98,2.61,2.84,360442
30-Jun-10,2.71,2.82,2.71,2.80,282417
29-Jun-10,2.93,2.95,2.66,2.70,322081
28-Jun-10,3.00,3.05,2.91,2.98,92986
