Date,Open,High,Low,Close,Volume
14-Feb-11,10.93,12.00,10.85,11.95,571891
11-Feb-11,10.65,11.07,10.08,10.78,273048
10-Feb-11,10.77,10.86,10.10,10.73,163507
9-Feb-11,10.50,11.37,10.50,10.85,488031
8-Feb-11,9.44,10.43,9.28,10.38,328979
7-Feb-11,9.10,9.60,8.98,9.42,128206
4-Feb-11,9.56,9.59,8.88,9.12,129423
3-Feb-11,9.95,10.04,9.51,9.56,43474
2-Feb-11,9.72,10.18,9.50,9.89,163217
1-Feb-11,8.82,9.74,8.74,9.65,188173
31-Jan-11,9.06,9.21,8.57,8.79,176772
28-Jan-11,9.44,9.47,9.02,9.14,151178
27-Jan-11,9.29,9.60,9.26,9.38,97583
26-Jan-11,9.13,9.60,8.74,9.42,160292
25-Jan-11,9.78,9.78,9.00,9.07,169376
24-Jan-11,9.41,9.76,9.20,9.75,118978
21-Jan-11,9.64,9.99,9.31,9.48,156341
20-Jan-11,9.76,9.83,9.15,9.58,339038
19-Jan-11,10.92,11.24,9.70,10.03,281594
18-Jan-11,10.00,10.88,9.95,10.88,399878
14-Jan-11,10.64,10.64,10.64,10.64,0
13-Jan-11,11.80,11.82,11.30,11.46,181853
12-Jan-11,11.75,12.08,11.40,11.80,248233
11-Jan-11,11.87,11.88,11.11,11.66,392860
10-Jan-11,10.81,12.00,10.66,11.85,654168
7-Jan-11,10.45,10.85,10.04,10.75,296107
6-Jan-11,10.35,10.85,10.03,10.37,493978
5-Jan-11,8.77,10.37,8.65,10.25,845885
4-Jan-11,8.56,8.85,8.36,8.74,187310
3-Jan-11,8.82,8.87,8.28,8.50,258720
31-Dec-10,8.69,9.19,8.69,8.75,344487
30-Dec-10,8.55,8.80,8.38,8.55,100979
29-Dec-10,8.62,8.88,8.25,8.60,245970
28-Dec-10,8.89,8.95,8.44,8.61,172071
27-Dec-10,9.09,9.29,8.42,8.84,375772
23-Dec-10,9.03,9.03,9.03,9.03,0
22-Dec-10,8.04,8.56,8.04,8.35,204313
21-Dec-10,8.12,8.46,7.67,8.08,245820
20-Dec-10,8.40,8.87,8.02,8.07,321944
17-Dec-10,8.45,8.61,8.17,8.34,233422
16-Dec-10,8.06,8.58,8.00,8.53,455628
15-Dec-10,6.90,8.19,6.84,7.97,833633
14-Dec-10,6.93,6.99,6.75,6.94,109399
13-Dec-10,6.91,6.97,6.63,6.96,149865
10-Dec-10,6.90,6.98,6.83,6.97,45962
9-Dec-10,6.77,6.96,6.74,6.94,120481
8-Dec-10,6.57,6.76,6.50,6.76,126053
7-Dec-10,6.96,6.99,6.59,6.76,156343
6-Dec-10,6.62,6.95,6.60,6.89,257007
3-Dec-10,6.33,6.60,6.15,6.59,144275
2-Dec-10,6.20,6.35,6.15,6.30,235832
1-Dec-10,6.24,6.27,6.12,6.23,82693
30-Nov-10,6.25,6.25,6.12,6.20,104348
29-Nov-10,6.08,6.28,5.95,6.25,275523
26-Nov-10,5.97,6.09,5.85,6.02,82218
24-Nov-10,5.90,5.90,5.90,5.90,0
23-Nov-10,5.90,6.09,5.75,6.05,152611
22-Nov-10,5.74,6.10,5.55,6.04,312172
19-Nov-10,5.69,5.69,5.55,5.69,144085
18-Nov-10,5.45,5.70,5.45,5.69,271453
17-Nov-10,5.14,5.45,5.02,5.38,313668
16-Nov-10,4.84,5.24,4.83,5.19,501478
15-Nov-10,4.43,5.09,4.41,4.83,576625
12-Nov-10,4.31,4.70,4.20,4.43,437732
11-Nov-10,4.09,4.10,4.00,4.10,53968
10-Nov-10,4.16,4.16,4.08,4.15,35992
9-Nov-10,4.11,4.18,4.10,4.18,48738
8-Nov-10,4.12,4.15,4.00,4.12,36196
5-Nov-10,3.95,4.15,3.95,4.05,43851
4-Nov-10,3.86,3.98,3.86,3.93,43905
3-Nov-10,3.85,3.85,3.80,3.83,16901
2-Nov-10,3.75,3.85,3.75,3.85,6103
1-Nov-10,3.74,3.80,3.68,3.80,26656
29-Oct-10,3.80,3.80,3.69,3.75,23633
28-Oct-10,3.80,3.87,3.76,3.76,13444
27-Oct-10,3.67,3.80,3.67,3.77,25116
26-Oct-10,3.64,3.72,3.53,3.65,33628
25-Oct-10,3.74,3.75,3.56,3.66,11930
22-Oct-10,3.55,3.71,3.45,3.71,7752
21-Oct-10,3.71,3.71,3.45,3.51,24050
20-Oct-10,3.59,3.63,3.48,3.49,13105
19-Oct-10,3.60,3.60,3.45,3.52,4973
18-Oct-10,3.64,3.69,3.55,3.58,12474
15-Oct-10,3.70,3.80,3.62,3.68,33015
14-Oct-10,3.61,3.75,3.52,3.68,37153
13-Oct-10,3.64,3.72,3.60,3.63,13887
12-Oct-10,3.73,3.75,3.66,3.71,19158
11-Oct-10,3.67,4.06,3.66,3.74,87369
8-Oct-10,3.75,3.86,3.65,3.74,38452
7-Oct-10,3.50,3.80,3.48,3.75,158604
6-Oct-10,3.51,3.54,3.45,3.50,48520
5-Oct-10,3.33,3.55,3.33,3.49,48269
4-Oct-10,3.40,3.45,3.31,3.33,13875
1-Oct-10,3.30,3.38,3.25,3.33,48200
30-Sep-10,3.36,3.37,3.24,3.37,12408
29-Sep-10,3.29,3.50,3.16,3.41,24537
28-Sep-10,3.29,3.39,3.24,3.36,17202
27-Sep-10,3.12,3.36,3.12,3.15,2700
24-Sep-10,3.23,3.31,3.23,3.27,4040
23-Sep-10,3.11,3.15,3.11,3.15,3734
22-Sep-10,3.23,3.25,3.07,3.12,18387
21-Sep-10,3.30,3.35,3.13,3.26,7056
20-Sep-10,3.22,3.36,3.07,3.36,10877
17-Sep-10,3.15,3.36,3.12,3.36,7688
16-Sep-10,3.39,3.39,3.18,3.28,6335
15-Sep-10,3.35,3.36,3.17,3.35,12828
14-Sep-10,3.41,3.47,3.40,3.47,12100
13-Sep-10,3.33,3.55,3.31,3.40,44050
10-Sep-10,2.98,3.35,2.98,3.25,23567
9-Sep-10,2.98,3.07,2.73,2.90,36446
8-Sep-10,2.74,2.93,2.70,2.84,21004
7-Sep-10,2.81,2.82,2.79,2.79,12256
6-Sep-10,2.89,2.89,2.89,2.89,0
3-Sep-10,2.89,2.89,2.89,2.89,0
2-Sep-10,2.81,2.98,2.75,2.87,36974
1-Sep-10,2.98,2.98,2.65,2.84,62699
31-Aug-10,2.88,2.90,2.88,2.88,7342
30-Aug-10,2.89,2.99,2.85,2.90,14153
27-Aug-10,2.87,3.11,2.85,2.86,32659
26-Aug-10,2.92,3.00,2.92,2.93,2091
25-Aug-10,2.86,3.04,2.86,2.96,2907
24-Aug-10,2.92,3.12,2.89,2.93,7748
23-Aug-10,2.96,3.03,2.93,2.98,6380
20-Aug-10,2.91,3.09,2.91,3.02,9941
19-Aug-10,3.10,3.10,2.89,2.98,12409
18-Aug-10,3.30,3.30,3.06,3.08,17088
17-Aug-10,3.28,3.33,3.24,3.25,2600
16-Aug-10,3.23,3.29,3.17,3.17,10337
13-Aug-10,3.38,3.38,3.22,3.22,37636
12-Aug-10,3.40,3.40,3.18,3.40,66348
11-Aug-10,3.39,3.39,3.14,3.19,6153
10-Aug-10,3.26,3.40,3.26,3.35,1414
9-Aug-10,3.40,3.40,3.34,3.34,7738
6-Aug-10,3.24,3.46,3.22,3.45,31014
5-Aug-10,3.21,3.23,3.14,3.23,30910
4-Aug-10,3.15,3.21,3.15,3.21,7219
3-Aug-10,3.12,3.14,3.03,3.13,8694
2-Aug-10,3.15,3.20,3.06,3.12,23448
30-Jul-10,3.16,3.18,3.04,3.17,17172
29-Jul-10,3.21,3.21,3.16,3.19,24428
28-Jul-10,3.00,3.21,3.00,3.21,25891
27-Jul-10,3.16,3.16,3.00,3.06,6776
26-Jul-10,3.15,3.19,3.15,3.15,2235
